tempo,quantidadePAs,articulation_points_percentage,betweenness,degree,closeness,eigenvector,lifespan,mobility,fragmentationImpact,k_connectivity,density,number_of_cars
0,1,2,3,4,5,6,7,8,9,10,11,12
1,1,2,3,4,5,6,7,8,9,10,11,12
2,1,2,3,4,5,6,7,8,9,10,11,12
3,1,2,3,4,5,6,7,8,9,10,11,12
4,1,2,3,4,5,6,7,8,9,10,11,12
5,1,2,3,4,5,6,7,8,9,10,11,12
6,1,2,3,4,5,6,7,8,9,10,11,12
7,1,2,3,4,5,6,7,8,9,10,11,12
8,1,2,3,4,5,6,7,8,9,10,11,12
9,1,2,3,4,5,6,7,8,9,10,11,12
10,1,2,3,4,5,6,7,8,9,10,11,12
11,1,2,3,4,5,6,7,8,9,10,11,12
12,1,2,3,4,5,6,7,8,9,10,11,12
13,1,2,3,4,5,6,7,8,9,10,11,12
14,1,2,3,4,5,6,7,8,9,10,11,12
15,1,2,3,4,5,6,7,8,9,10,11,12
16,1,2,3,4,5,6,7,8,9,10,11,12
17,1,2,3,4,5,6,7,8,9,10,11,12
18,1,2,3,4,5,6,7,8,9,10,11,12
19,1,2,3,4,5,6,7,8,9,10,11,12
20,1,2,3,4,5,6,7,8,9,10,11,12
21,1,2,3,4,5,6,7,8,9,10,11,12
22,1,2,3,4,5,6,7,8,9,10,11,12
23,1,2,3,4,5,6,7,8,9,10,11,12
24,1,2,3,4,5,6,7,8,9,10,11,12
25,1,2,3,4,5,6,7,8,9,10,11,12
26,1,2,3,4,5,6,7,8,9,10,11,12
27,1,2,3,4,5,6,7,8,9,10,11,12
28,1,2,3,4,5,6,7,8,9,10,11,12
29,1,2,3,4,5,6,7,8,9,10,11,12
30,1,2,3,4,5,6,7,8,9,10,11,12
31,1,2,3,4,5,6,7,8,9,10,11,12
32,1,2,3,4,5,6,7,8,9,10,11,12
33,1,2,3,4,5,6,7,8,9,10,11,12
34,1,2,3,4,5,6,7,8,9,10,11,12
35,1,2,3,4,5,6,7,8,9,10,11,12
36,1,2,3,4,5,6,7,8,9,10,11,12
37,1,2,3,4,5,6,7,8,9,10,11,12
38,1,2,3,4,5,6,7,8,9,10,11,12
39,1,2,3,4,5,6,7,8,9,10,11,12
40,1,2,3,4,5,6,7,8,9,10,11,12
41,1,2,3,4,5,6,7,8,9,10,11,12
42,1,2,3,4,5,6,7,8,9,10,11,12
43,1,2,3,4,5,6,7,8,9,10,11,12
44,1,2,3,4,5,6,7,8,9,10,11,12
45,1,2,3,4,5,6,7,8,9,10,11,12
46,1,2,3,4,5,6,7,8,9,10,11,12
47,1,2,3,4,5,6,7,8,9,10,11,12
48,1,2,3,4,5,6,7,8,9,10,11,12
49,1,2,3,4,5,6,7,8,9,10,11,12
50,1,2,3,4,5,6,7,8,9,10,11,12
51,1,2,3,4,5,6,7,8,9,10,11,12
52,1,2,3,4,5,6,7,8,9,10,11,12
53,1,2,3,4,5,6,7,8,9,10,11,12
54,1,2,3,4,5,6,7,8,9,10,11,12
55,1,2,3,4,5,6,7,8,9,10,11,12
56,1,2,3,4,5,6,7,8,9,10,11,12
57,1,2,3,4,5,6,7,8,9,10,11,12
58,1,2,3,4,5,6,7,8,9,10,11,12
59,1,2,3,4,5,6,7,8,9,10,11,12
